pattern_id,pattern_type,validity_score,entry_price,stop_loss,take_profit,TS_Date,TS_Price,P1_Date,P1_Price,P2_Date,P2_Price,P3_Date,P3_Price,P4_Date,P4_Price,P5_Date,P5_Price
0,bearish_qml,0.638,20945.51655,21875.95050906,20015.08259094,2023-01-15 09:00:00,20573.13,2023-01-18 03:00:00,21377.44,2023-01-18 09:00:00,21151.0,2023-01-18 14:00:00,21650.0,2023-01-18 16:00:00,20407.15,2023-01-19 13:00:00,20945.51655
1,bullish_qml,0.661,21113.502,20072.79501678,22154.20898322,2023-01-16 16:00:00,21647.45,2023-01-18 09:00:00,21151.0,2023-01-18 14:00:00,21650.0,2023-01-18 16:00:00,20407.15,2023-01-19 04:00:00,20874.81,2023-01-20 20:00:00,21113.502
2,bullish_qml,0.623,23374.54,22599.03593683,24150.04406317,2023-01-25 15:00:00,23816.73,2023-01-27 01:00:00,22534.88,2023-01-27 05:00:00,23100.0,2023-01-27 14:00:00,22841.19,2023-01-27 20:00:00,23500.0,2023-01-29 19:00:00,23374.54
3,bullish_qml,0.629,23203.4,22204.62756352,24202.17243648,2023-01-28 16:00:00,23960.54,2023-01-30 12:00:00,22962.68,2023-01-30 15:00:00,23301.82,2023-01-30 22:00:00,22500.0,2023-01-31 02:00:00,22913.71,2023-02-01 20:00:00,23203.4
4,bearish_qml,0.71,23776.491,24565.36274854,22987.61925146,2023-01-29 11:00:00,22500.0,2023-02-01 14:00:00,23144.85,2023-02-01 19:00:00,22760.23,2023-02-02 00:00:00,24255.0,2023-02-02 06:00:00,23658.2,2023-02-02 15:00:00,23776.491
5,bearish_qml,0.746,24552.2706,25640.87801846,23463.66318154,2023-02-12 20:00:00,21351.07,2023-02-16 00:00:00,24905.0,2023-02-16 14:00:00,24283.35,2023-02-16 16:00:00,25250.0,2023-02-17 00:00:00,23339.37,2023-02-17 00:00:00,24552.2706
6,bullish_qml,0.609,24725.75,23356.03452471,26095.46547529,2023-02-15 12:00:00,25250.0,2023-02-17 00:00:00,23339.37,2023-02-17 03:00:00,23914.58,2023-02-17 14:00:00,23710.0,2023-02-17 20:00:00,25021.11,2023-02-19 16:00:00,24725.75
7,bearish_qml,0.585,24400.74675,25540.20168494,23261.29181506,2023-02-17 22:00:00,23840.83,2023-02-20 14:00:00,25121.23,2023-02-20 22:00:00,24655.0,2023-02-21 08:00:00,25250.0,2023-02-21 16:00:00,24279.35,2023-02-22 02:00:00,24400.74675
8,bullish_qml,0.898,24509.8549,23277.71821882,25741.99158118,2023-03-12 09:00:00,26386.87,2023-03-15 11:00:00,24255.0,2023-03-15 12:00:00,25196.97,2023-03-15 17:00:00,23896.95,2023-03-15 22:00:00,24633.02,2023-03-16 13:00:00,24509.8549
9,bearish_qml,0.725,27439.6155,29294.50793608,25584.72306392,2023-03-20 16:00:00,27303.1,2023-03-22 05:00:00,28288.0,2023-03-22 09:00:00,28000.0,2023-03-22 18:00:00,28868.05,2023-03-22 20:00:00,26601.8,2023-03-24 21:00:00,27439.6155
10,bullish_qml,0.713,28506.75,26326.23183339,30687.26816661,2023-03-25 23:00:00,28194.4,2023-03-28 05:00:00,26872.11,2023-03-28 06:00:00,27142.25,2023-03-28 10:00:00,26631.78,2023-03-28 12:00:00,27210.0,2023-03-30 03:00:00,28506.75
11,bearish_qml,0.687,28230.5103,29567.70918305,26893.31141695,2023-03-27 03:00:00,26508.14,2023-03-29 21:00:00,28500.0,2023-03-29 22:00:00,28211.0,2023-03-30 02:00:00,29184.68,2023-03-30 03:00:00,28090.06,2023-03-31 07:00:00,28230.5103
12,bullish_qml,0.733,30333.57,29309.139622,31358.000378,2023-04-09 21:00:00,30550.0,2023-04-12 06:00:00,29850.0,2023-04-12 12:00:00,30486.0,2023-04-12 15:00:00,29637.4,2023-04-13 02:00:00,30200.0,2023-04-14 01:00:00,30333.57
13,bearish_qml,0.88,30270.6,30867.41470198,29673.78529802,2023-04-12 21:00:00,29796.21,2023-04-14 12:00:00,30850.0,2023-04-14 16:00:00,29966.0,2023-04-15 00:00:00,30595.6,2023-04-15 01:00:00,30278.08,2023-04-17 01:00:00,30270.6
14,bullish_qml,0.672,27665.3581,26769.54582191,28561.17037809,2023-04-19 21:00:00,29240.15,2023-04-21 11:00:00,27919.69,2023-04-21 13:00:00,28308.45,2023-04-21 22:00:00,27125.0,2023-04-22 05:00:00,27397.63,2023-04-24 01:00:00,27665.3581
15,bearish_qml,0.79,29176.155,30166.98262385,28185.32737615,2023-04-26 22:00:00,28168.74,2023-04-30 08:00:00,29348.31,2023-04-30 11:00:00,29160.53,2023-04-30 15:00:00,29969.39,2023-04-30 20:00:00,29160.96,2023-05-01 02:00:00,29176.155
16,bullish_qml,0.58,29120.3267,27826.99015675,30413.66324325,2023-04-30 22:00:00,29432.15,2023-05-03 06:00:00,28427.56,2023-05-03 08:00:00,28767.93,2023-05-03 14:00:00,28113.69,2023-05-03 22:00:00,29266.66,2023-05-05 02:00:00,29120.3267
17,bearish_qml,0.694,28944.0,30126.95539169,27761.04460831,2023-05-02 11:00:00,27910.0,2023-05-05 02:00:00,29531.0,2023-05-05 12:00:00,28800.0,2023-05-06 00:00:00,29820.0,2023-05-06 08:00:00,29132.14,2023-05-06 15:00:00,28944.0
